Sha256,Cohort,PythonTargetRgbSha256,CSharpTargetRgbSha256,Equal,DifferentBytes,DifferentPercent,MaeRgb,MaxChannelDelta
B4C8FA3786E8BA119F3C5F40F1BF5868D7591D0E865FF2AF84F7235674F33C88,DEVELOPMENT,ED453E1F19588232894975042E93EF140F9277E4DFADF8E47FB2E00D0D88228C,B9DB274CAEDBC14570116463F36A16A177A149FADD6E82005B765646A9BE86AF,false,45,0.029895,0.000299,1
D0998159322E7036852951E3B6BB4631E0A5EF21ADFC0DFC39679D4F410C959F,DEVELOPMENT,C896728D8DEECCE6FDA1220A843ABBFF99DFF7D39881875F506241B88C1601BA,F3AA33D0600491A8A29356B376BFDCDDC140825D0310363C22F16D24A9164FF8,false,39,0.025909,0.000259,1
B7004863AED55E481D4397435BD5B06CEA6180397E1059883D51F5D066F1147F,DEVELOPMENT,837604E4929926883EABA3C2803D8184EB6C4DB2B672EB06E8FC06A65C25795D,AF7CC4FAB1D490A74BCD6B57A2DE83A558536AB38557AD693C6589ED9A33641A,false,95,0.063111,0.000631,1
C177CD77BAA5F5587D302FDCC9F5615424F6BCED6057AA300113D6E3A600DC02,DEVELOPMENT,90747DCF2FD45ADA499AE5558593ACF895F1981439BBF4D3D539D94D86EE5D01,0229CD57E536AE35230BF437619D19A66617CF3F1329AA7F17169503DDEFA600,false,40,0.026573,0.000266,1
D165FB62E80F26847F1F00B1DBD7E949928E56EC5C2A0EDD2FE929E4ABD85CB0,DEVELOPMENT,4DB5218F4EF9C66D944D1C9192C6E367AAFD48E2310084C3F0CC9D2D91EC58EC,57D09CD807EE9DD3A7D1AA7173063322853F9F29DC2835A704DED12523C4D170,false,39,0.025909,0.000259,1
A75839AE32A6A29EBB6CF64EBE45427C346DFFE51E758D5F04D903FC28147D87,DEVELOPMENT,3A9A1030093EDAC5F377A45CF7F71CF7252A19E4C35E962D5A7E56B9D12ACD5C,F17B9548B070972CC7D8477B89BB08D2228706ACFE4DBA1BFC4944D7C80E67F5,false,96,0.063776,0.000638,1
681D494D1EABD2B24BA13F9F99B3AC5F6D565688BB7368714C430C5395C5A868,DEVELOPMENT,367077A8ADCF3F50F693CE7D77578674645F68A592A7F2AD7EA641FEFE35CD5E,D922E96C77ED9EDB4D35E9886D188842FF24357851390DAD14F72FA55878F356,false,58,0.038531,0.000385,1
B68674F3B9393FDE895EBE47421061B41DCE664D2174AFA8C7904CD4324C5124,DEVELOPMENT,CB37617EB877E770F0C2C45346010FC8091565EA72754961CA46D6CCED884DAA,E083F20C9A068F5E69CA2468CB82785F40F5EC32AEFCA00011C783AE96F61C7E,false,79,0.052482,0.000525,1
5E8DD1B162CD0DD53E297362595BB3BE6CF0D4A3AA3803D214C679FD4CBD69F1,DEVELOPMENT,3C2BAA814B8E14D32DD7FE2CE0CDC9E31FA2DBC976FBCB5F7E7B95984C9251D4,18A710D8FD7D59726558BEB399D0D39558E43EFD93F32852F9A0D1477CFEC9D7,false,42,0.027902,0.000279,1
8F6CD87791DE515777752DAA95C010EB45B43DFD9348A6AD6110D4325615EA00,DEVELOPMENT,2A6925103807D9AF18B40FD7DC620F8E6A8ED981A5ECA29CB3B2948AB70D1DFD,6099EE228C38F2F5CF88A6C952A574F2B4A9B51F8C7D69AC76DE8413D3CE7942,false,1,0.000664,0.000007,1
0A580FEA09DEB190DE1B8FCECAECE18D82D97ED106F75509B1CAFE5475D16253,DEVELOPMENT,DB92DF12389479F358A0FC273EED242036A0913585FE2AAB517B449AF5FD31AC,E434B8F3BC94FDBC30C49B962CECFB35687597EEA964E0C3E2B2AAB38BE7D6BF,false,10,0.006643,0.000066,1
4AA692A94759E1F431C7F170D7194BD10D99DC221BB5B63BD9A9654AA70A7515,DEVELOPMENT,B879E7ECF4D56A2EA4124F2B3F8DCFB11C4C04E567C1D70033C43B0A5E0E90E2,7A2DDF87DFA16C6EFC47A1433DC92644E398E3374F619AC9CC395E9436DB0F1B,false,13811,9.175037,8.283907,255
CEBD403817596F810B3BB9DCECB123713E7BC8788B8B6DDD32DF87CEED97D03A,DEVELOPMENT,51792F1D3AAA79EC769AA2613CC9572F1938BDD4030A23377633CAB50BCDA724,45B360D7FC9033D75B37389576B705181D1DF80392F8BBCC70932995F7982D53,false,34984,23.240859,10.299067,255
2AF9DE4CAF9BB15F857FAE3B9E6DFEEDD831219A156B978E43FF62BC315266C6,DEVELOPMENT,E89218B4D7843634D82BD1167732FB9AB02D3AFAC351EE545E43A1432D83D92C,5513A7408CDDA8C98CF54112AFA9D0996A6D90193526F11EA8B2C8DA25983764,false,21812,14.490327,8.107362,255
72047867C7642F6358837C0F9867C83F915A29366A6B64C6508DCE8FEB356E85,DEVELOPMENT,67BB03D77ACA1AF31D483B78742B1BBC2B4709F82EC802202877CBE3294D612C,00B97C822F54541B6FF2F05283F99AFAD195DE542B6E2684F665DD3E8CD43546,false,15933,10.584742,12.009832,255
A881A4460A42E2C5B06E833B3B6B6A7EE43EC358EDBDB48C3B3BD7B7F6643710,DEVELOPMENT,F7F56D1CE7F0586D46C742CD8A758E4B6EB915C658E2D1E1D7327F6E38421032,4B3D61932DEDD47C5F43BFA45C5D57F1CF78573205B13865C6B9917B2704F3CC,false,54,0.035874,0.000359,1
09FA512D0268E721B912C8D816EB01D29B16E440ADDC96B967A462DAAAF784DA,DEVELOPMENT,D7CCC88FAA457B829707A887C833FF9FE03D064FAA022F70877CE76BAE4C241B,EB4EEB966B10AB7829363EBD5289CFEDBC155457D2A8352FFCDFE7B3301F40EE,false,92,0.061118,0.000611,1
31089A698A1E82394B3667FE64BAF03D2A775892EF73B04FB9C439A916E5CC2A,DEVELOPMENT,92DFF3CAEC02EF70ABAC3867BE62FCDBC685D2C7A62739F1390657D7C2AEFB95,307A3D6D8234E8CBDA898627C7E70BFC9FC99157FBF6519DD2617CF691B0ED14,false,74228,49.311756,73.978197,255
3542D120B3139DB932D4DFB7A8D23F072F1FFBEBD924C55AB6494B68851BD418,DEVELOPMENT,5474BE8E5E5818878502D496E9C405104BA25D3C150CA6F3351F3B5250758B87,B6F4386FDC1626D7394EDA7FBB98743E9D12193DE37D9656AA537EA3D7E4125E,false,5,0.003322,0.000033,1
C5DAB04B2642976192FF1B496476C165AAEC82A85C775945E07D2580E0C99279,DEVELOPMENT,140B009C83E191BE363F9E1008E644E412CF7D5A4EBF2629C97AA227BB42E629,27289FD76F10894D17EE9FDF785AB296807F5F1BDDFE88BB5D70C489E1BDDC9E,false,10,0.006643,0.000066,1
645D7CE914A8E04CD643296A64581A6DE08FB07730F4CC96646A93AFE83EE991,DEVELOPMENT,E04855094DB8DA259FE2B1224C5B43C1DF70372B499F45CD5B03E18A35F40F0F,25326F5DF6B7F7A6E0B9493BE6D396FC52A5ED32C34AD60E3E79E594542D7715,false,15,0.009965,0.0001,1
9A641C4729F3EF559F7A6D5A621453270D66916A84727E1556C4FB7525EFABC7,DEVELOPMENT,011321E574C3D5B9FA8E8E0EA0D42D598CE221EC8D5535AFB13E3E97322F5988,1C37D6B4401926A689547AB5EFF6025370B0D3A87C3AFF637C77763E7A719385,false,478,0.317549,0.003175,1
BE8E9456C6B3CD399C535A48BB397D4BF7C91D9CBDC212D5438373DDEFD4B5B5,DEVELOPMENT,5053609C898BB80794B89ADB367FD7C550AA90905F1788DAAD90B4056376B3C8,1E2F278074EA681113BE1C475A64E847511F1FA30596E198E65E6377C1760B1B,false,108172,71.861713,9.014529,167
94F6E14058C816126DE54ADD5ABC33BE7B27923DDB132FBC9590101D1E82C8D7,DEVELOPMENT,5DEEFFEF8CC708052A87FF8639E250B526CBCF0A6F3C4B1535C8C3EEE141E4EF,AFB18DCD39B75D4AF6FFACD715286026C50F286C1518FDB695C5C95319FD0ED3,false,2,0.001329,0.000013,1
0814C60BD510A3E30D86D313B0DDDB0CB088B987E781388B1C942943A13D554E,DEVELOPMENT,4ABFF94C8E718D3EE8295F8E5A483CB5CD63DBF49BD213AC96E1462E2AFFAF8F,5F4281CF588C13B599B90BA9643E03DECD61C3688C2B3A07BCD384DC9F9AD001,false,659,0.437792,0.399613,213
4076445FF73213039D7402664EB4FC48546391227FAB11DAA3224DA874701C8C,DEVELOPMENT,247D59E99610E9386D6119D4C8E9E5995A10DF5F106A213F833887382DDF3F33,CA81A8A8A61473B35D1822EF44C23CC8CA0E94DC345CA72C194E523CD1044325,false,127598,84.766954,136.335977,255
74DA980974A41F7B871D2C47FD7A44101AB5661F1393C6FEFD5399CAA02A68DD,DEVELOPMENT,E2BBD005356715DEB2762DDAF358C24F38DB353D3598ADBB01B6DC08D5C2F6E8,F19F59BB898218B84ED87538489DAB3D64D5768733A9F610362E52492CD6AB42,false,84567,56.180246,42.713528,255
EC91DE96F8A25E7EE60D3F37BF910A33AE2F346FEE43CEEEF8DFD14BB3F53973,DEVELOPMENT,AA9A398641C90B949C6691CEFACFB52576871CAB90B3461D13DAE7EA183E9A2B,116EADBBDF0B40A8A750C8CDDEDC0433C40C82D7986EBFCDAB0C1014467A1492,false,84595,56.198847,75.305212,255
966FCC7F039D31C33FC27230D26B6EC27356D2033146FA8A4EE21461EAB0945D,DEVELOPMENT,0CCDBFC184B4798744EB7560A164DCE832A0AA5919D940869E597456610F9A4E,D61E5499EC74A65487FC698274F5E294F2BEA5DAB45E7526CB9B7D9A701E17EF,false,2,0.001329,0.000013,1
D2B2FACB91DDE28A9AED66FDEA2BDBD8E2FD91B94161D10F361C4040553FF392,DEVELOPMENT,CB3D1A3CC6F00F7FD49DA02165596449E6F58EBDF53B29CAF555533B8E74D5A2,314E636377E0F8771109B251CA00F960BF902D42BC5F20E8679F6035419EDA92,false,5,0.003322,0.000033,1
F6112D3A8671D063327C69FBA50410F72448E6DA21C4C8A6AFCFC3F883CE84A4,DEVELOPMENT,5CD78B6F6EE8A3C839F5DF3C24165395601D159BBE0129910E8480F5F64BB6D4,38946D3252E18CC4491768D7E46516C9D33B9F6B47E68070D8B9D1B74F16B532,false,4,0.002657,0.000027,1
131E45D3DC803E82CB78E212E95C4E289E840BF38F309CC9E631F8D3F0668D7B,DEVELOPMENT,05869D4C7136EF318899ECDC002B95AFC7880C1DB9267D0706391100A2613F38,64DC55387029AD300970A879F553CB24A5AB059D41B804DE08E929B53223F76B,false,108065,71.79063,85.229346,255
398257AA42671A521BDE2ED73A1695CCE3819975D25652CA5F06383773E842EE,DEVELOPMENT,80F68C290F992465C9FF60745D483E380B63CE0F6622EE77C2E50DBA43D3EFE0,A9A6895B842EA966E0842EFE9C8EFC2D8741236C5A8580A3C89547C275C8CD48,false,61709,40.995031,35.337333,225
5EAC3DD7134262EC7667AFFD27336A78CCB94C616157B186FF964556F9635BB7,DEVELOPMENT,900A64C366B1F695EDBDAEF0493BA516BEFEA30A52ED9610F3CB29E9F3EF9047,06F5BE657353FE374599408D3C97A0BA39B04CF394175960451EE11DAB7AA19F,false,10662,7.083068,7.044948,255
DFB5D9B1FC4775F72C0526C008E7C7438380A66D13114E8C65F3FAC5F942FFA3,DEVELOPMENT,B24DE4C98ED5439B544CEE0E513C5C2C72FE04D86A7DA0D6826A6040C030FAFA,B2AA190DCA55C7BAE7ACF6D969EB9FD202DFBD4D77277089996BD297A13838E9,false,19,0.012622,0.000126,1
2CDC2802080A93C44CC6959AF2AC254546F4652B24A22C9B75546BEDFDB0A3EA,DEVELOPMENT,C7AFEEC579E73EF5A52D0D33F41AC494433ACA9767AE014AC891EA124A25BC5F,F466E424CA5A259316AC0D439DC4F72167ADEF2DAB04B7C963CDBF47F24FBA1A,false,12,0.007972,0.00008,1
999FBF2C511BEF61577E45BE48F034B1AABDC5692AEB747159BD61CF408F6BB4,DEVELOPMENT,F62EEBE9E5FDEFFC088456F3A0DC330A3535D63C7E654C0590C5D8DF92638FE3,B6C8131D020246ABEEE19B057A0F6D7DB3791FD6C6CD542466A50556655E3980,false,12,0.007972,0.00008,1
7D6906456FD818CCF677B46E7E09A4F9EE6932CEE5AF8FED0DC9CD4D2D7EEE75,DEVELOPMENT,534F7218F2BD6A99B1DE49E52384566D40DB6BF252601A55BC4D684EA7635D50,9E69E99B9E32503EFD62A350D7B628E92B887D0DC13AF459A22B3A39D2A2B49A,false,109521,72.757892,19.125844,188
AD4F901A339BA7D979DDC8D72FDF48CF5AEA068CE8B78E0A68DB02659CBB784D,DEVELOPMENT,42E4C6A020F4A00449F9E85C07C72A1747E4E8298FCF3176BA48B9021AED737B,652691A530D268844017D077029A3B3A80E0169643CD64CA6189703D178C7C54,false,23,0.01528,0.000153,1
DA7DB06022306B8142F9D0179BDE36BFE71E64CEC4A2D7E10FCCE5D2FDBC7C97,DEVELOPMENT,417F5C6FDF450BAF5488C119D245CE3BC53BC62D31A073704A4A50A83F1117A1,566C9E1E070397AB5B33DEF2A6EB3E63D120F48C2159F9321E84378B377DCE75,false,110895,73.670679,21.424293,175
3E354C1E6A7CB85C4D523AC1B7741EC6E1D498440C0B1FFF531DD3B50320AB78,DEVELOPMENT,7C89E73ADE8009B6E2A649EB6F0F6C1C7CE4EDA991DA23D5CD5EC7FD26CBE482,F15E679BEEFD074EEB14EC776B96988BD6EF87650A71F4C7BB3B57669E6BCB59,false,58,0.038531,0.000385,1
50D0A84325CDCF665E473A3E3D0F62F86079E2DCFEF4AE4E4BE0D2A776C0AF97,DEVELOPMENT,CC3B5061FEA4FAEACB20EDED81F113F35BC915161FB7E79ABDC1044EBC7444DD,EAD162EA6B65374C61A4D860497EDF20C8CB7BBA0F2F5D0E6BDEEDDAAE6FAB68,false,81329,54.029151,86.555252,255
02523B356AEC13D925C44F336DDAABE81215EE01EE8BCBDEBFC6714A37D55A28,DEVELOPMENT,E375D0CF016D7D53CD00A31399AB3A694F179CAC696947C0295DF2EA9E5101E5,DA46D3625135236895957BF25DCF02966849A54AF003387550B8E846DC4634E0,false,4,0.002657,0.000027,1
AF9E13927BD6123DA16DE0369AA7435A2892D4D71E8A0B3863F85C6A5E30455A,DEVELOPMENT,BAD6EB2DCD887F2570CF5849EFB4F78F92E7EA5B6FE2A91AB4637D09CBFD6838,7E9D0F71B57AFEC613EC0436340E21FFB1C0219CB1C5C85325888461ECE0C5D3,false,37,0.02458,0.000246,1
70943A213A862A315DB451BAFBADDBFE5C0E45D694BF40FD8E5430FF47A032BA,DEVELOPMENT,379CD789A2F9A1F375818DD0E97A06BEBA839118BF5B31B0E4F12EE19A21EE56,377246E996750AC52F8892F0C55ECA7BCD085D8CBE81792C146596C56418EFA4,false,521,0.346115,0.003461,1
28FCC8808B0DEE25A850B6F4C5063E17FB94B3CB194917E84422E9F2A8C111A5,DEVELOPMENT,E3AA2003DA892C0FA964312C1BE257B9C2807B801D73F0FF9EE2CF78475EF236,10C62F541DD2F531B3EACC4157BF70DEB6D8E797E20B6A784A625348D04C1A8B,false,12,0.007972,0.00008,1
CA4B144974CDD331E904D3646E7F74FDAE6502B6CCDA4A0B4845C2FA9E2F6DB8,DEVELOPMENT,6AABAD959E2EEA3072DD16D442B02D03010DA11C36F22FB79522718D787289CD,12BE14A217350D8B6894811B6A9AD2407CD00911FE539A922B07141173D86C95,false,17,0.011294,0.000113,1
40D282AFE8457677E743468F7D7EDAAA8FEEDB38D7458D01304953DA8E2E5BE4,DEVELOPMENT,B55B6DD91CB97F7998BC8625F455D072124F15B499D415D998ED78C7BFC13BEE,FF9F1B7637F8A767540E272C136FC9ECC203FB64C1109DB8167C9285E74A4A6D,false,7,0.00465,0.000047,1
675F30D09450E3C2A33AD99C4DC69C108D812EF861FD47858519F8A9913464E3,DEVELOPMENT,F8089FD7A3AD899294E3421207D1C8F186A139312C22D4D407EC182CE929F636,A2BF16B65EA13861FBB34BA37C15ECF075AEBB5302B55115BC64FED42FB605BF,false,7,0.00465,0.000047,1
9B103DB594C0BEE038C97560216C9623601B0050584D5946910513AC662DCE6F,DEVELOPMENT,4753AA753E7C64A6AF11BA7B2C13C2A3D3AFCA96BB4356143AB8385E07A94768,BD0C41DF45E497D75A48F377B14F3302CB150E8C38E8E0A76C343BCD3F81AF19,false,16,0.010629,0.000106,1
6DB7AD704B49BFC71197B65C40C94E926183B498F4CFEB7553FAE26B2BC534A3,DEVELOPMENT,57DE0164F3FA9C98B9EAB95F59D92DD8D9012C44CA26B5E11E38E5CC14C8E00E,AEADD458A26A04363683E5C3B23B37F2C2557CC8B2DEC6D081232E7AF787BD8A,false,37,0.02458,0.000246,1
1C4DB25AAC0A169B26D121DF0992AB546E8D487A74FD1E45FDEF3490F3708601,DEVELOPMENT,F9EF6C29B36E296654CA589F91A9DC7D989EEC303A524AAF700D51F03682F400,5647D8C8C6C684229578FA39F3EA18A109E8FE141C3BF9510A567BA47AA3E668,false,78,0.051818,0.000518,1
382662294B57C459DB9F1231FE0503A77176D130F8EA1BFB709132C3115F1A49,DEVELOPMENT,EFB565951B0985969ADE3C88BA819A04EDDE1A8154DDCDCA9B1004DAD3BE1BBD,128EE9B49DD8940405C7524017E7D01DD46EEB1AEEC68DC489EBD7DF98D27450,false,41,0.027237,0.000272,1
4C4A524F6C4F42DB654184D20C435FAAFCACA3F08AE9CF313F55ED571DDEAFE3,DEVELOPMENT,3420CF7D3A47067AB9145F5ED30717F31BD96A2BD4216C7DCFF08EEA0DC76417,9D18318990F13D2765C210EEDC1FB9F508B1D6E4825FF38EB096A66E68C5C025,false,15,0.009965,0.0001,1
D86F134415A04E0606A287E30878EC7914E9DF74B3B4C92B1EF28FD94B366E94,DEVELOPMENT,D6EF82DEBCEE7E5AAEA64383B07EFFA6BB8741E5C8088D70DA28ACAED809C98C,D35275E00FE878933745AA35F67597348D1873B930575C1AAAB60130CBCCFA99,false,15,0.009965,0.0001,1
4CB36B9488EDCAA6B27FEF1B0A3524525E14E115CF2045F118B032995E653587,DEVELOPMENT,E756026007616BEA4A5A8F311360D392B8699700F99B46758439A4812F6A68BB,263856D6B93619D96C0B7B608E6169D1B9D8C130BACF42D0E524E686467329B4,false,76,0.050489,0.000505,1
720D554E1CE7B5F36A27E8EB9E0C446EDD580DD15E0AAB7C46E8EB12BE170C51,DEVELOPMENT,6A3F7128865EE4E6552DEDDD915E4F0221E93A9987428589CEBFBDCB0927DEDA,F3D7D314807269ED962770043C702CFDF570266FA4FAC60824D6209E4BDD2788,false,58,0.038531,0.000385,1
83C37B5C6E92C9515F9456960E62208CEF94E5985871436E4E5464233C0EA6A0,DEVELOPMENT,7F3322632D929BA826C5E55FF1FA56921EAA25526699C1136CA3176D47933F6F,9D71D254125540999EC885F7586205368D8F24F9E34E3FEA24A7475D5D3CED60,false,53417,35.486421,63.624409,255
35784F288939B0D8F196CB8646314FE710549A870D08E33C8E974D21EABBA0D1,DEVELOPMENT,EA681B77B7973E399345BF934E8A52CF60B49FA691D246FE87AC05E1F41B4F77,73B3E83D60F7886ABE98CE7A26805FADB02F3D5C09D5CDAE3D3A64EC96FF6EAF,false,6,0.003986,0.00004,1
7943C6EB1641AD882AF8038E05B5F350A7FA8FBE6C2DF3DF90E9004412040FEF,HOLDOUT,9CCBA5E0B010517DCCC42C0AA8A6816D772180700B7CD3D862D5A62DCE3B8A88,CD3523997F18FDCC1D2CFB8BA470A39580DCD2A1ABFEDA2A73ABC6B32C001963,false,78,0.051818,0.000518,1
122412579CB7F775A638F44BF40EACB229C173965B54C8B8FBC969D28DA6F2DC,HOLDOUT,8A2CC9FC8DA15F8BA18032CB8F5E4C4D15FCE8B738D57AC7B6B564A1D248F693,4A783DDDAB59C70895C2E574735408659E897DF89917E12701AA553F34FB8BE5,false,102846,68.323501,158.027224,255
8AE4509AEFA61A7ABB180BC7A0514AD169E1E8047C07D7544D3D0CB800B4E3FC,HOLDOUT,C8AB8ED7975F4586FBD823830E5818B0CE3DE1FC7A267A2CEF301F10D40A7785,2B68CBAE555DFED1EB5574B9A7BE861D1C40E7A41BBF67E50BC4365421E6BB2A,false,30,0.01993,0.000199,1
FA8700C24DBDFE130D17A72C536CC9DCF1639DD4A8C5E313DB18605F70DAEED5,HOLDOUT,A1E5842DC5CEEB0D0D373E86C3799CA464C599D4F469B2BA5AAA6312DD3EBD55,05FC4D765E307316949C4C5B60A51DC432C4DA1F291CEB5AC00A5EE857C59981,false,9,0.005979,0.00006,1
0EF37A45898658CCA6C6E9A3A57946875F92E0AC0AF3C602DA2E9086380F6AE4,HOLDOUT,0F8C3DA846AEC4253DE404F1B8BA8F25538AB45452B41CC08E6308A0C3F942F3,D622DC228BEDAEE0628BC7739D6D6E9249A7B916D831E6B1FE4D6402D43C5D17,false,1,0.000664,0.000007,1
15ED536B42D37302D1DD306E1E2F9C46AA07C069EC3DE614660DA7B6ECE627C0,HOLDOUT,1CD1A6A95A36B3AFF05309E6036D7AA461BC8EB4BE2AADB23E534549193CDEEA,493C3B9F725EB8D60F09B7944A710AB9EC9194A68EA51B886BFF31DDCDB87A38,false,22230,14.768017,3.679276,215
B6524C56C8E4C7F199F98CE0E2EBE84BEC72DA783A9E5A1DA9FC17505080F44F,HOLDOUT,E387080BEAB1BCB0EB735F1B212DBE2606F53957CB841CD001E11EB602BA1161,4ED4FB65F1FA5DD602FBF18B9810605B369729641110D1559AA66DCC99D85576,false,6,0.003986,0.00004,1
D9AFAF729E3D7965CE69B7DA7477640EFE7CB3725C7753E3C22305D06BF77C6B,HOLDOUT,055A2F8AA74363FE8B3365ED42914147848B9D98C572B2845E86B2EFB7D7BF3F,707E89F6F8945C6C068E3156D6EA2D480BF83486196E90D6521EA2CBCBBDF313,false,4,0.002657,0.000027,1
2D246A2651752808442383D814C806437999B4C22FD2E77D18BEDAF2AC6786AB,HOLDOUT,E699FBF77BBB74232C61A0F4B3B27BEB12CA47B3EBA4DF7B98B3473C6A557696,463FD1E6CA1C9861BA7DCB0131DCB1F715E489A5E64C17C1AF7AC3A8AD87D04D,false,11,0.007308,0.000073,1
31371F0EA09BFB13ECAECD39B9C36CF70E4662CB0E31F2ABE26B8E74402003F5,HOLDOUT,F736A2A4B8FEFD52F23BF313A996E4C0B4E593E3DE05B89436140AC13999BBB8,20DE73E0C90BA1BC1D98CE3B808BE6D225DE89DEAF18E9D3C92584DE2820F918,false,27,0.017937,0.000179,1
