Sha256,Cohort,PythonTensorSha256,CSharpTensorSha256,HashEqual,DifferentFloats,MeanAbsDelta,MaxAbsDelta
EC91DE96F8A25E7EE60D3F37BF910A33AE2F346FEE43CEEEF8DFD14BB3F53973,DEVELOPMENT,CF4824B7FD322E4ECA6BC0B840FFDF5071A5C78B4F6E42C80502F3590F4CFB91,6E945E74F12EE18C15EF75FD2D735ECB3229BA54CF8A991A1799623F8AF36289,false,84595,1.306185,4.464286
966FCC7F039D31C33FC27230D26B6EC27356D2033146FA8A4EE21461EAB0945D,DEVELOPMENT,EA102FB7A5EC4943482D6219B7D2CF198E1FC82B7172420F2CDC8129D1246E15,74DEFAC2F97795DA6C962044268F196E26CE6D876A1EFF56F5AAFF5BA6B57F41,false,2,0,0.017429
D2B2FACB91DDE28A9AED66FDEA2BDBD8E2FD91B94161D10F361C4040553FF392,DEVELOPMENT,CF0317B654F69DE0EA355FC228DC192FF6BC37BF2254DC243F7BE8941FF22677,85299047D2500DFF3ADEA0B13C3B4D795C1987DC36BD078565A901F051E150E2,false,5,0.000001,0.017507
F6112D3A8671D063327C69FBA50410F72448E6DA21C4C8A6AFCFC3F883CE84A4,DEVELOPMENT,4390E1E6BA7971F7E9C5A9A841B4E21C44072ACA8EA9ADA2A67860DD61BDE986,F3BD965D30583EA07E29D96AA7CE1CCBFD127B03B77605324C5F9A345568E7FB,false,4,0,0.017507
131E45D3DC803E82CB78E212E95C4E289E840BF38F309CC9E631F8D3F0668D7B,DEVELOPMENT,A1709483E0141C95C32D9258F68B3D1D2BF9F649AF29EF9C5D051F671B62B0DD,7EECE56B0FCDC366233CD3479FD08E3B6FCDED6E383E70E7F666975DBA5EDBB1,false,108065,1.476727,4.464286
398257AA42671A521BDE2ED73A1695CCE3819975D25652CA5F06383773E842EE,DEVELOPMENT,11C18E4A9ED25C4F40F9B57E9D4C06FA0603E06856BD8D3DAC2BEB420AF981BF,B9E3FA1578CB1E181C460A22310218354EA02A1F0D14E869D0394F5C8E56BA71,false,61709,0.613165,3.921569
5EAC3DD7134262EC7667AFFD27336A78CCB94C616157B186FF964556F9635BB7,DEVELOPMENT,D6F1AEEB208BBD096B5F966FB3DC8CA828B380F879C0959F2F471AE2A6EC66FA,9B8782CB6D6D4C703FBBB0D298BB312B4A1422ED41579E82E6795D3A32844934,false,10662,0.122261,4.464286
DFB5D9B1FC4775F72C0526C008E7C7438380A66D13114E8C65F3FAC5F942FFA3,DEVELOPMENT,6653C76FFCCA69A3E94B0D51F3CD889A2B5066947D64EFB652FA65770B77F317,E8A39C0722EE9862FE27AAF24A4C6FBD2C097247071120E3A7A01255A9C34995,false,19,0.000002,0.017507
2CDC2802080A93C44CC6959AF2AC254546F4652B24A22C9B75546BEDFDB0A3EA,DEVELOPMENT,8055EFF0975500B78ADC39B496CF6206AD72FF9FD3A1699458606E54EE6CE27F,80C089F26E097BEED3AC7D4F998EE9BDE57F411E58CDEC95EBDE9D7159A6322D,false,12,0.000001,0.017507
999FBF2C511BEF61577E45BE48F034B1AABDC5692AEB747159BD61CF408F6BB4,DEVELOPMENT,1541B97220F753E6F794CDD53C7A6A989F084E843B0037BB78E05C4CDBD7964E,F14425F14C95075C77888079A8B9E46785D28E1957FC8122134DE269105CD471,false,12,0.000001,0.017507
7D6906456FD818CCF677B46E7E09A4F9EE6932CEE5AF8FED0DC9CD4D2D7EEE75,DEVELOPMENT,003677EB3B96A5EBFE66D7ADD65C9894371AECD7AE95F92730AEB58F18C10BDA,BECF61D0B2456079E4D7F7D9DA072D5BA6F2DD681BE8C092FFD79D920DBA7F07,false,109521,0.331893,3.256302
AD4F901A339BA7D979DDC8D72FDF48CF5AEA068CE8B78E0A68DB02659CBB784D,DEVELOPMENT,DA13F4C0EFBACBD8678B48DB59477EDD226BB5A23BF87958512D845242CB549E,242BABEB564D00250FF0B6F68EA5365E286CE15B263E22B606DBFF6A6CDE32E1,false,23,0.000003,0.017507
DA7DB06022306B8142F9D0179BDE36BFE71E64CEC4A2D7E10FCCE5D2FDBC7C97,DEVELOPMENT,B23260FB44E9545901F8C09A9DF5A31A1D54F7B692637EF87AE40422EE9178B2,72B88508119D8415B69E0880BC2A666BF2365EBAA396E5E49D4CDB3CA3A396C9,false,110895,0.371807,2.996832
3E354C1E6A7CB85C4D523AC1B7741EC6E1D498440C0B1FFF531DD3B50320AB78,DEVELOPMENT,C3BB7B5C9606208823C3B3E73E631FD620D4A203D9634DABB608664A2056285E,B84909DCB285335ACFE5147998ACFF369BC08D9928EBC6CBC064BE02D1D42B5A,false,58,0.000007,0.017507
50D0A84325CDCF665E473A3E3D0F62F86079E2DCFEF4AE4E4BE0D2A776C0AF97,DEVELOPMENT,736D348F31BB1FFEC1E3995C3964B87D23AD2A6BB5FB86B1BD4972DDA1D77F7F,94368A30A58EFFFEC0025C99BC37782FC6C1B6D6890A64329BB88C9896AC536C,false,81329,1.502274,4.464286
02523B356AEC13D925C44F336DDAABE81215EE01EE8BCBDEBFC6714A37D55A28,DEVELOPMENT,89CF95866FAF5C529B82ECA0E73DB2AEDE88BDD5096DA6CD6FE56801046747F4,E07AE7367954445FCDDCA5F3117A944B8D13DED2319FA9EC31299D2F545A2514,false,4,0,0.017507
AF9E13927BD6123DA16DE0369AA7435A2892D4D71E8A0B3863F85C6A5E30455A,DEVELOPMENT,2F0A34AAC767A2753C90BEAC9740140E4FCDD835B4AA195F703F6014D2B09284,444A7F6D5A4BEAC158ACB960A2CE73002AF3794FAA1014D31CAFCB43D2CE3FC2,false,37,0.000004,0.017507
70943A213A862A315DB451BAFBADDBFE5C0E45D694BF40FD8E5430FF47A032BA,DEVELOPMENT,F6C6C4B6824FC46611CBEADAC73F9377A4E25C99F7B009BA622EB6D7D296D723,8087BBD803A0180D205C4C085E253F7631687542935F002DA5E46359F1CB563C,false,521,0.00006,0.017507
28FCC8808B0DEE25A850B6F4C5063E17FB94B3CB194917E84422E9F2A8C111A5,DEVELOPMENT,C1468226ADE6DF58D17077AE91C37B8928147126EC6D1608713A9815B591FEE5,DD799145BF51AB57A58B7743553B84A55D648181A05305EA5831F220542F0660,false,12,0.000001,0.017507
CA4B144974CDD331E904D3646E7F74FDAE6502B6CCDA4A0B4845C2FA9E2F6DB8,DEVELOPMENT,AF4B3DF5F80322F16188B9483A67BAA7578A6B480FFB9A405213BA532103E77E,EA2C15E2C12AED1A958CE3F55A8FC0FD1BACC5F60328AE2EFC888B02F2F6A61B,false,17,0.000002,0.017507
40D282AFE8457677E743468F7D7EDAAA8FEEDB38D7458D01304953DA8E2E5BE4,DEVELOPMENT,A03FDF0AD7B0F006BD257FA4870366969CC957DA772E6DEF066C76D11D5AD453,7E84BE8FFEC07AA2559A5BA25E5B2D179E0F33B054AC8E823FB13E997298C42B,false,7,0.000001,0.017507
675F30D09450E3C2A33AD99C4DC69C108D812EF861FD47858519F8A9913464E3,DEVELOPMENT,87A698A8D33A558052428BF6B58BBF0DFFCAC347AABD216F8076A68F237D283C,57AA45A5A3C74F2083C8343D87FCB9B324B8E32A82980493C97397DC886DB564,false,7,0.000001,0.017507
9B103DB594C0BEE038C97560216C9623601B0050584D5946910513AC662DCE6F,DEVELOPMENT,7DE295FD9B50CFF2FF49175E4FC4216D24E35062475529C299EB62D1F657C2B1,2BB7BFE8F38866A7613CB69C9ADF9F9506980B8E58EF80CFADE2BCB2626A8DA5,false,16,0.000002,0.017507
6DB7AD704B49BFC71197B65C40C94E926183B498F4CFEB7553FAE26B2BC534A3,DEVELOPMENT,16EA5BA4BEB0509461532A9F24674A99935E3F1DAE2C531C6C190354781C0779,98E99FCD9D2AF59A5EB2431A93566FC6CA1AFB4131796699EF78C1A4BF8372C2,false,37,0.000004,0.017507
1C4DB25AAC0A169B26D121DF0992AB546E8D487A74FD1E45FDEF3490F3708601,DEVELOPMENT,909F1DAF3B53DB667C1E691A95300035919053605861DF6B59A95D3A753E00C6,9185256D6850D65FDA22F7311A57845DE21736A382143E53D039DC986CE3F098,false,78,0.000009,0.017507
382662294B57C459DB9F1231FE0503A77176D130F8EA1BFB709132C3115F1A49,DEVELOPMENT,A8920017A9AD3C8AEE9B7D1AAD8CA4884BA6B69F3D2514AC88BD5F347D46E3A8,4B095BD05F5E5142F348EE987565EBC6A607DB5B468ADA1AC973F363137367B7,false,41,0.000005,0.017507
4C4A524F6C4F42DB654184D20C435FAAFCACA3F08AE9CF313F55ED571DDEAFE3,DEVELOPMENT,6595647A7ED0DEEAB6A7EAE59EDBF3E4510F6C5B41F7877093720B8829559BCA,C7DBAE74553956D9BD47ED5436FFEE5DC12CEA90E8A18B6802480A29C2543598,false,15,0.000002,0.017507
