Model,Threshold,TP,TN,FP,FN,Accuracy,PrecisionPositive,RecallPositive,F1Positive,MacroF1,Selected
VISUAL,0.303000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.304000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.305000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.306000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.307000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.308000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.309000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.310000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.311000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.312000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.313000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.314000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.315000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.316000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.317000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.318000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.319000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.320000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.321000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.322000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.323000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.324000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.325000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.326000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.327000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.328000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.329000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.330000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.331000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.332000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.333000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.334000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.335000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.336000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.337000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.338000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.339000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.340000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.341000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.342000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.343000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.344000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.345000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.346000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
