DocumentoRecepcionId,ClasificacionAutomatica,ResultadoRevision,EtiquetaRevision,PhysicalFormat,VisualEligibility,NotApplicableReason,VisualProbabilityDocument,VisualPredictedAt050,VisualPredictedAt0726,GroundTruthVisual,CriticalError,DurationMs
"10095","REVISAR","","","JPEG","ELIGIBLE","","0.49255591630935669","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"10096","REVISAR","","","JPEG","ELIGIBLE","","0.88329946994781494","DOCUMENTO","DOCUMENTO","","False","4"
"10097","REVISAR","","","PNG","ELIGIBLE","","0.40790623426437378","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"10098","REVISAR","","","JPEG","ELIGIBLE","","0.10176479071378708","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"10099","REVISAR","","","JPEG","ELIGIBLE","","0.0021858382970094681","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"10100","REVISAR","","","PNG","ELIGIBLE","","0.64364099502563477","DOCUMENTO","NO_DOCUMENTO","","False","4"
"10101","REVISAR","","","JPEG","ELIGIBLE","","0.14122097194194794","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"10102","REVISAR","","","JPEG","ELIGIBLE","","0.096478603780269623","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"10103","REVISAR","","","PNG","ELIGIBLE","","0.74279642105102539","DOCUMENTO","DOCUMENTO","","False","4"
"10104","REVISAR","","","JPEG","ELIGIBLE","","0.56834441423416138","DOCUMENTO","NO_DOCUMENTO","","False","4"
"10105","REVISAR","","","JPEG","ELIGIBLE","","0.012887577526271343","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"10106","REVISAR","","","PNG","ELIGIBLE","","0.7268332839012146","DOCUMENTO","DOCUMENTO","","False","4"
"10107","REVISAR","","","JPEG","ELIGIBLE","","8.9428271166980267E-05","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"10108","REVISAR","","","JPEG","ELIGIBLE","","0.87240970134735107","DOCUMENTO","DOCUMENTO","","False","4"
"10109","REVISAR","","","PNG","ELIGIBLE","","0.67585128545761108","DOCUMENTO","NO_DOCUMENTO","","False","4"
"10110","REVISAR","","","JPEG","ELIGIBLE","","5.5573338613612577E-05","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"10111","REVISAR","","","JPEG","ELIGIBLE","","0.048821937292814255","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"10112","REVISAR","","","PNG","ELIGIBLE","","0.28971481323242188","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"10113","REVISAR","","","JPEG","ELIGIBLE","","0.745507538318634","DOCUMENTO","DOCUMENTO","","False","4"
"10114","REVISAR","","","JPEG","ELIGIBLE","","0.17189586162567139","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"10115","REVISAR","","","JPEG","ELIGIBLE","","0.76234513521194458","DOCUMENTO","DOCUMENTO","","False","4"
"10117","FACTURA","","","PDF","ELIGIBLE","","0.85294407606124878","DOCUMENTO","DOCUMENTO","","False","176"
"10118","REVISAR","","","PDF","ELIGIBLE","","0.83608198165893555","DOCUMENTO","DOCUMENTO","","False","131"
