fold,id,group,source_label,family_max,payroll,bank
0,3834409B59C9A290C26E9267C39A01D27D92856349DB019AB59C7BCAFDA3B75C,F-FACD83D8B4281A05571A,FACTURA,0.00018790995009901535,0.00018790995009901535,5.059134826424933e-06
0,3B860B6593D1AEBC8F03506526A6AE696D13B315A1D192D7A0F847BFA42B4968,F-FACD83D8B4281A05571A,FACTURA,0.00013983860692969347,7.496624915123483e-05,0.00013983860692969347
0,3DA116906DC6BF9DEEA58E0EF033210A4FB68DE535200F99EADFA702389249A7,F-FACD83D8B4281A05571A,FACTURA,4.433721242746733e-05,4.433721242746733e-05,4.496071317795085e-06
0,3F9FB559E8BC9E77AAB8CF090FBF8AC35299259BD3975DA5622A81A7D7363730,F-FACD83D8B4281A05571A,FACTURA,0.00010624246057168569,0.00010624246057168569,7.58999638544919e-06
0,41FA873A1F07397324194D528955075ABA1D624A6B9FC0141D8DF96C9FDC382B,F-FACD83D8B4281A05571A,OTRO_DOCUMENTO,0.00010712552872286436,0.00010712552872286436,3.749544323716724e-05
0,426CABFB27B1E9DC7B0AAF9A744E25706C9B8777EBED5BD036FD1595F45510A4,F-FACD83D8B4281A05571A,FACTURA,4.306939309025491e-05,4.306939309025491e-05,1.2254977095744067e-06
0,439833AEF8D7B0259CAF9B303A64725314A132FE233FCA975B85432811D08B16,F-FACD83D8B4281A05571A,FACTURA,3.845938312971007e-05,3.845938312971007e-05,1.4729864082780339e-06
0,439A22F01718067EC1EB41D23A7F8DE0A5E4BC6EA6046C74A2E669B49046FFB8,F-FACD83D8B4281A05571A,FACTURA,7.233777942440174e-05,7.233777942440174e-05,1.9810484189934198e-05
0,446E0501DAAA8C0D2C03D8A2264B06451F4B3EFA0B5D3E22D20EB5C0FA84A76F,F-FACD83D8B4281A05571A,OTRO_DOCUMENTO,5.8528953537079956e-05,5.488215341930803e-05,5.8528953537079956e-05
0,44D17B670732D2F7908D719E8A43E71C8BC82036A0AD5F5FD8D8E31BF74A3FC7,F-FACD83D8B4281A05571A,FACTURA,0.00014303119211560644,0.00014303119211560644,1.3956591249285569e-05
0,45E4B1C971479A31B8A3E5151E675BCD49996D24091AFA0D6D903D28AE654029,F-FACD83D8B4281A05571A,FACTURA,8.974252985525855e-05,8.974252985525855e-05,1.8461460805846983e-05
0,4748FFCF51EE67AB048FD8858D1D91BD50E1047375DD4FA884E05A31A825D374,F-FACD83D8B4281A05571A,FACTURA,7.537829994864669e-05,7.537829994864669e-05,1.2794675034617996e-05
0,487BE95CE2B74C076DB9B750906366F1BA20735F5EBD37547F018951FD75A2F6,F-FACD83D8B4281A05571A,FACTURA,5.639723519498706e-05,5.639723519498706e-05,4.413602068053235e-06
0,48A15CDA72B11D1EEFEA64DC1FD8E662BE4B281ED8292B1DD2AC9FE31A601F59,F-FACD83D8B4281A05571A,FACTURA,5.82397558529127e-05,5.82397558529127e-05,3.63824515834176e-06
0,4930E9734A794BC4F0752CC3CEAEF60D72C0E1DDEDB23DFDC766CC02FE89712D,F-FACD83D8B4281A05571A,FACTURA,9.999913212497065e-05,9.999913212497065e-05,6.868155626354899e-06
0,4A0FDE3116124B33DEE99C856BDE9A889F4BE8AB9833A0DE27F16AD629C34A57,F-FACD83D8B4281A05571A,FACTURA,0.00010138057702132746,0.00010138057702132746,7.0142034063140506e-06
0,4A5BD76C0378CC13621238F7F2581406BF864B1E74D7AC0119456CCBE7CE5DE1,F-FACD83D8B4281A05571A,FACTURA,7.263651069876244e-05,7.263651069876244e-05,2.472195287044e-05
0,4AD486E9FF3BB40BAD661248D2947CBC41D0BF02681C772BB88045B83C2DFA65,F-FACD83D8B4281A05571A,FACTURA,7.831277926924662e-05,7.831277926924662e-05,6.673156465942799e-06
0,4AF19DD5F7D4C2E6FC2F1935C54AEE6B5C6F4606CB7FE0F736D1EABF6B7D19A2,F-FACD83D8B4281A05571A,FACTURA,5.40502006123429e-05,5.40502006123429e-05,4.141427150906361e-06
