FamilyId,Fold,Documents,Factura,OtroDocumento,HeaderErrors,TextErrors,FacturaToOtroDocumento,OtroDocumentoToFactura,HeaderErrorSha256
F-38536FFE21B52E182513,3,1,0,1,1,1,0,1,7DB28C1CAEF678FB79B4D943F74C412E0324E467A85C015D65AD2D45783D057A
F-38BC11F2F1438B7B9147,0,1,0,1,1,1,0,1,AE5F33D11E36020FD2D0004B7D7F0E29834D1846F3753696CE2E377BA6990089
F-406AFFDAEA0F1DA6D75F,2,1,1,0,1,0,1,0,DA5FFC1E9615BAE4423440693BFE0165F59ED356657DBBAF03C35DCBB83FA8F3
F-463F5D66BCFC1B95B4F2,3,104,103,1,1,1,0,1,6C5B4EA91CF5B9B7DCFE271736BED260D3E743DB8E6B20D27414377E4A215229
F-63F23BB2C7162DAFD254,0,1,1,0,1,0,1,0,63E3F4FF38F20C64BA564671499DC8683FBF77219974F9D9B1173F8A2FE05D4C
F-64920D3701B1A613ABDC,3,1,0,1,1,1,0,1,1C4DB25AAC0A169B26D121DF0992AB546E8D487A74FD1E45FDEF3490F3708601
F-73D1F939C9F0B93053BA,1,1,1,0,1,0,1,0,CDE2CF61792ECB1685A1B5D28F4185B11E4FFE284D37428507FA26C8426DAACE
F-780F613365E9FD4576C4,2,1,1,0,1,0,1,0,929808BE7D3DFA364E40A52C21EEE8C6195BCB4B2724BB30F5EA0E99E2964963
F-86F3ACDC73080FEE11E7,1,1,1,0,1,0,1,0,5C30A6686334E5B07A188EBE90969D68F40F82B55970D0671F81743F2080CB2F
F-8A2E5C33616E9AAE14BF,3,1,0,1,1,1,0,1,19E19AD1C279BECEB59406F9DEE7DA0FB14F0747F234EF55898B99CAD0866281
F-9556189C2A6C11049E74,2,1,1,0,1,0,1,0,65689BDA6B6E78D08778050BC9AF74BF489A45EC0F06B14D021402CC4A49703B
F-B5269576C44B14F588D5,1,1,1,0,1,0,1,0,F6AC68EA31D6263F385CD363C26F1FFFF5ADE73640CA3BD10454220B6CE6CEC4
F-C4297C930D025E93CCD8,2,1,1,0,1,0,1,0,A75839AE32A6A29EBB6CF64EBE45427C346DFFE51E758D5F04D903FC28147D87
F-DB7766FFE78E622516F9,1,1,1,0,1,0,1,0,FE56C5F0D519D9084CA60878C88E88C121CA77BD55C9A438401793C2D6B46597
F-DCC01CD6C3861C7E4C3E,3,12,11,1,1,1,0,1,657D014F547F5C67D9C3C97F905729BE00F4498F2CB5E01528AAFF4F0E177E5B
F-E1B8D918E114096E5077,2,1,1,0,1,0,1,0,D1F8966052F9585FA0A09C435D2ACA06180130A3DC9FDBDFE46534FA6BA34BD9
F-E311D094CEA0C30D422D,3,3,2,1,1,1,0,1,45423B64B6534B7466BB3D12871E57950B3423157843BC88BACA040D2E333D3B
F-E8D73DC2FE1F519E363D,0,1,0,1,1,1,0,1,70943A213A862A315DB451BAFBADDBFE5C0E45D694BF40FD8E5430FF47A032BA
F-EFE6E9C595B24436566B,3,12,11,1,1,1,0,1,A2BF3657EE083148A054B3F7110C884140B3D69930E58683F957FBAAA580D827
F-F005EBB69A8DFBD56F0B,3,2,0,2,1,2,0,1,CA4B144974CDD331E904D3646E7F74FDAE6502B6CCDA4A0B4845C2FA9E2F6DB8
F-F47775882EC65DC9A64C,2,1,1,0,1,0,1,0,8297067AEF748F2AF13EAE298A7873C99F19F88F467DEAAAF71FBE64554AC1C9
F-F47B73E9F9F7F5973BEB,0,1,0,1,1,1,0,1,AF9E13927BD6123DA16DE0369AA7435A2892D4D71E8A0B3863F85C6A5E30455A
F-F8EBECB216D6C0D8E1BE,3,2,2,0,1,0,1,0,D0998159322E7036852951E3B6BB4631E0A5EF21ADFC0DFC39679D4F410C959F
F-077C308A7FE5C91A2133,2,1,1,0,0,0,0,0,
F-0DDB74E82CF65D655CE7,2,2,2,0,0,0,0,0,
F-12600531E9602D88F9A3,1,1,1,0,0,0,0,0,
F-12D78E5BCE33FB9957D7,2,1,1,0,0,0,0,0,
F-134A9F49858D4BF94062,1,1,1,0,0,0,0,0,
F-13D60871A95205707260,3,1,1,0,0,0,0,0,
F-19DFBD73F91E34BD601B,1,1,1,0,0,0,0,0,
F-1A84B55E846D76A51EE3,3,1,1,0,0,0,0,0,
F-1A8F6C1739284F36B46F,1,1,1,0,0,0,0,0,
F-228C9EF1AF8B1DC387B7,0,1,1,0,0,0,0,0,
F-236B043AC3F54D78C0B5,2,4,4,0,0,0,0,0,
F-239031FB24D11A1289E7,3,10,10,0,0,0,0,0,
F-2536699D670C4BE35026,0,1,1,0,0,0,0,0,
F-2721D67ECCF8E868E314,3,1,1,0,0,0,0,0,
F-278280CEE7859CD404B9,0,1,1,0,0,0,0,0,
F-2D05BCBE13ED5260189D,3,1,1,0,0,0,0,0,
F-2D5EBBA8FDC9D9E26FC3,3,1,1,0,0,0,0,0,
F-3011CA8E0F20D09184FC,2,2,2,0,0,0,0,0,
F-327C7B7DF903BFC3269A,3,1,1,0,0,0,0,0,
F-3425847B1228DCB1FFC6,1,1,1,0,0,0,0,0,
F-35CE05482AADE1B2B731,0,1,1,0,0,0,0,0,
F-3668A88FC20749F1E323,3,1,1,0,0,0,0,0,
F-3BA8B67ACD3C697FA8AD,2,2,2,0,0,0,0,0,
F-3EC46382AC5DECDCE46F,3,1,1,0,0,0,0,0,
F-3F260BA547D3B90B2125,0,1,1,0,0,0,0,0,
F-41390C2275426E0851C1,3,1,1,0,0,0,0,0,
F-4282D891EC4146496CC2,3,4,4,0,0,0,0,0,
F-42C5622A9D25DE95FE79,2,1,1,0,0,0,0,0,
F-42F5E136477B6F356B09,2,1,1,0,0,0,0,0,
F-4426261E80B33B17CD1D,3,2,2,0,0,0,0,0,
F-46CBE2F2FC989AC0304F,2,1,1,0,0,0,0,0,
F-491E72C9A59BCFB7F91A,3,1,1,0,0,0,0,0,
F-49A5021ADC5A10C6DAE9,1,1,1,0,0,0,0,0,
F-4A04ED19FCD7897FFCD0,3,1,1,0,0,0,0,0,
F-5213D0B5BE521925EA95,2,1,1,0,0,0,0,0,
F-52A8D3E535639BC9066E,2,7,7,0,0,0,0,0,
F-5A19E47D686C678820E3,0,1,1,0,0,0,0,0,
F-5A7941650D7DE31BC8A5,1,1,1,0,0,0,0,0,
F-5C921C794595E71A586A,2,1,1,0,0,0,0,0,
F-608FD94169B4B9CD50E2,2,1,1,0,0,0,0,0,
F-624B9DB867F145EBB34C,0,1,1,0,0,0,0,0,
F-66FEEC36CB99F857D1A9,2,5,5,0,0,0,0,0,
F-6A583E4107FD174FEE61,1,1,1,0,0,0,0,0,
F-6B5DF25739C20B353A70,3,1,1,0,0,0,0,0,
F-724FA6B6F7F7BF0A734C,0,1,1,0,0,0,0,0,
F-73AB37D8D5F65AA437FE,3,5,5,0,0,0,0,0,
F-73CB94964FB18FDF7FCE,3,1,1,0,0,0,0,0,
F-779475FE3B614A1E04BC,3,1,1,0,0,0,0,0,
F-77F1ACB02A8A219F6BC8,0,1,1,0,0,0,0,0,
F-78FBBC0583221AAC5789,2,6,6,0,0,0,0,0,
F-79FC3EE9CB676FEF6E5F,0,1,1,0,0,0,0,0,
F-7D0D437DDC69268FCFC4,3,2,2,0,0,0,0,0,
F-8284161832BF5D9F0F2E,0,1,1,0,0,0,0,0,
F-832328D5B6CC43C2F3DC,3,3,3,0,0,0,0,0,
F-832E3C0161524B1EAC7B,3,1,0,1,0,0,0,0,
F-844F46097516D7BF05C2,2,1,1,0,0,0,0,0,
F-847ED9FB103AD022E208,2,1,1,0,0,0,0,0,
F-86BE3E411093F2089A3D,0,1,0,1,0,1,0,0,
F-874149FBB96F2D26236B,2,1,1,0,0,0,0,0,
F-87572B663CBBD9F4CA2F,3,1,1,0,0,0,0,0,
