Sha256,Cohort,RawFormat,PixelFormat,BitsPerPixel,IsAlphaPixelFormat,IsExtendedPixelFormat,IsCanonicalPixelFormat,Width,Height
50D0A84325CDCF665E473A3E3D0F62F86079E2DCFEF4AE4E4BE0D2A776C0AF97,DEVELOPMENT,PNG,Format32bppArgb,32,true,false,true,1036,625
02523B356AEC13D925C44F336DDAABE81215EE01EE8BCBDEBFC6714A37D55A28,DEVELOPMENT,PNG,Format24bppRgb,24,false,false,false,1280,1024
AF9E13927BD6123DA16DE0369AA7435A2892D4D71E8A0B3863F85C6A5E30455A,DEVELOPMENT,PNG,Format32bppArgb,32,true,false,true,2480,3508
70943A213A862A315DB451BAFBADDBFE5C0E45D694BF40FD8E5430FF47A032BA,DEVELOPMENT,PNG,Format32bppArgb,32,true,false,true,3541,4875
28FCC8808B0DEE25A850B6F4C5063E17FB94B3CB194917E84422E9F2A8C111A5,DEVELOPMENT,PNG,Format32bppArgb,32,true,false,true,2479,3508
CA4B144974CDD331E904D3646E7F74FDAE6502B6CCDA4A0B4845C2FA9E2F6DB8,DEVELOPMENT,PNG,Format32bppArgb,32,true,false,true,2479,3508
40D282AFE8457677E743468F7D7EDAAA8FEEDB38D7458D01304953DA8E2E5BE4,DEVELOPMENT,PNG,Format24bppRgb,24,false,false,false,790,440
675F30D09450E3C2A33AD99C4DC69C108D812EF861FD47858519F8A9913464E3,DEVELOPMENT,PNG,Format24bppRgb,24,false,false,false,797,399
9B103DB594C0BEE038C97560216C9623601B0050584D5946910513AC662DCE6F,DEVELOPMENT,PNG,Format24bppRgb,24,false,false,false,820,509
6DB7AD704B49BFC71197B65C40C94E926183B498F4CFEB7553FAE26B2BC534A3,DEVELOPMENT,PNG,Format32bppArgb,32,true,false,true,2479,3508
1C4DB25AAC0A169B26D121DF0992AB546E8D487A74FD1E45FDEF3490F3708601,DEVELOPMENT,PNG,Format32bppArgb,32,true,false,true,2479,3504
382662294B57C459DB9F1231FE0503A77176D130F8EA1BFB709132C3115F1A49,DEVELOPMENT,PNG,Format32bppArgb,32,true,false,true,2479,3508
4C4A524F6C4F42DB654184D20C435FAAFCACA3F08AE9CF313F55ED571DDEAFE3,DEVELOPMENT,PNG,Format32bppArgb,32,true,false,true,1240,1748
D86F134415A04E0606A287E30878EC7914E9DF74B3B4C92B1EF28FD94B366E94,DEVELOPMENT,PNG,Format32bppArgb,32,true,false,true,1240,1748
4CB36B9488EDCAA6B27FEF1B0A3524525E14E115CF2045F118B032995E653587,DEVELOPMENT,PNG,Format32bppArgb,32,true,false,true,2550,3299
720D554E1CE7B5F36A27E8EB9E0C446EDD580DD15E0AAB7C46E8EB12BE170C51,DEVELOPMENT,PNG,Format32bppArgb,32,true,false,true,2550,3299
83C37B5C6E92C9515F9456960E62208CEF94E5985871436E4E5464233C0EA6A0,DEVELOPMENT,PNG,Format32bppArgb,32,true,false,true,870,374
35784F288939B0D8F196CB8646314FE710549A870D08E33C8E974D21EABBA0D1,DEVELOPMENT,PNG,Format24bppRgb,24,false,false,false,1138,576
7943C6EB1641AD882AF8038E05B5F350A7FA8FBE6C2DF3DF90E9004412040FEF,HOLDOUT,PNG,Format32bppArgb,32,true,false,true,2550,3299
122412579CB7F775A638F44BF40EACB229C173965B54C8B8FBC969D28DA6F2DC,HOLDOUT,PNG,Format24bppRgb,24,false,false,false,2479,3508
8AE4509AEFA61A7ABB180BC7A0514AD169E1E8047C07D7544D3D0CB800B4E3FC,HOLDOUT,PNG,Format32bppArgb,32,true,false,true,2480,3509
FA8700C24DBDFE130D17A72C536CC9DCF1639DD4A8C5E313DB18605F70DAEED5,HOLDOUT,PNG,Format32bppArgb,32,true,false,true,3299,2550
0EF37A45898658CCA6C6E9A3A57946875F92E0AC0AF3C602DA2E9086380F6AE4,HOLDOUT,PNG,Format24bppRgb,24,false,false,false,550,24
15ED536B42D37302D1DD306E1E2F9C46AA07C069EC3DE614660DA7B6ECE627C0,HOLDOUT,PNG,Format32bppArgb,32,true,false,true,32,40
B6524C56C8E4C7F199F98CE0E2EBE84BEC72DA783A9E5A1DA9FC17505080F44F,HOLDOUT,PNG,Format8bppIndexed,8,false,false,false,398,37
D9AFAF729E3D7965CE69B7DA7477640EFE7CB3725C7753E3C22305D06BF77C6B,HOLDOUT,PNG,Format24bppRgb,24,false,false,false,156,101
2D246A2651752808442383D814C806437999B4C22FD2E77D18BEDAF2AC6786AB,HOLDOUT,PNG,Format32bppArgb,32,true,false,true,924,155
31371F0EA09BFB13ECAECD39B9C36CF70E4662CB0E31F2ABE26B8E74402003F5,HOLDOUT,PNG,Format32bppArgb,32,true,false,true,2480,3508
