ShaA,ShaB,Reason
3CE2C0673FDD58DAC9A355EC5956718B440A5C9DA8B42AD5991DA2C234D43803,05C97349F397582E8A6249A2D5709AD4923C3B38A7E21B050DE3374402BA58A1,HEADER_CUIT:33699685459
3FD55DD2C1024C71DDF80F06B48AF4EB5A2F8FE059469E32B9EEC13C2C96E7B1,0393CB3ABBE474C6B489BC46868FD98792B23A13B723C0F5196587EC98CCF160,HEADER_CUIT:30707889434
406AE65863FEC4A143382804B7C8C481DE608DB940FC7E9F7AB2621871E20521,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
41243EBAAC992E0FFDE0B76B2E7CEBF9A2E1C96BFC84AEF0F888498524C237D8,072B001D7FDCB00B166EE67FDDEE8BE382F3BA7FB76113DE6F258CAC2DEDFF3E,HEADER_CUIT:30669701639
41EE1283CB1D4D029BC3E99EB43EF53E2CB045CF0457F2AEEBE981C7662BC3DB,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
458790FF2AD5DB4FEB83228733FDC09CF5F18C6E641625E9563E807DAA6F1DF0,2177FA907AE027A8214549A497D8B20FAC11F03378434E82243735B41CDCCF90,HEADER_CUIT:30707503307
47202F7EA9AE6CCBE1449B55CA382D690A7F3BF48D0AF7E829BCD0D8522F4004,14A75A878D1C46176EA9AB48865A6D723CE20D76A39D0BAAD77767EAD1EC2DD1,HEADER_CUIT:30516384618
4793C4C1D323D492BC51D24B98BE11957EC75F6632E815BE6FA49D5F5DE9D204,186ECE220815305724D8DA06F9EACF61CFB5C4D8E64DBA98AB1342E0710C0AF1,HEADER_CUIT:30708188472
4977BD9321274C56C37FA622DDBBAD186D692453E6A09EE22B0546A90912BEFD,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
4A3B294959E6152FF45800C9910DB03748710E94CD8710F805237F7532194422,481956117B7BF5D84F3D09FF85452B875AA1D3150C90D00A6636B6433A2AEDC0,HEADER_CUIT:30718629612
4A5384DEF4B19CB130CAE73EA2EEAB8F4AC68E5D1E82DA366E613C6883BD6012,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
4CBE0DFB852CA508AE1D36F4C7770C1EBBB95E3769DA3A769885C04C4300AEC6,214391B212DE575A749E2CE564AB831866F3B4E810B804B112AFFECC4A0DC0C5,HEADER_CUIT:30657863676
4E2C816FFF574B805516CE36CB360CBF81812915C3BC2B598B3032866342A4D0,239BC30DB9260C6A5A365B595D11D3D601BD2A7FDDBFBBC6942F5C5B8DD2C39D,HEADER_CUIT:30717024393
4F39462F761C9986054107B13330318BA14C99276BBFE1C27A5CC4443B4992C8,2177FA907AE027A8214549A497D8B20FAC11F03378434E82243735B41CDCCF90,HEADER_CUIT:30707503307
4FD4F771DFD962D25875FC30C0CD4A0081D17E27D089764ABC773716833D76DF,481956117B7BF5D84F3D09FF85452B875AA1D3150C90D00A6636B6433A2AEDC0,HEADER_CUIT:30718629612
50566E41BEA66843426E938E48CA28589AAC5B91B9CD44A9CB684AED8E8609DA,05C97349F397582E8A6249A2D5709AD4923C3B38A7E21B050DE3374402BA58A1,HEADER_CUIT:33699685459
5122AC18B80B16BF1AA4E66053CA9397F1B2C4BB1D2C36058926E367B46698D9,225886580C85D6E9291E33F31E663C265C372BE9B6DFF5D4C18D41160FBBE122,HEADER_CUIT:30696850972
5176E5C03A0FE88311E155B40D3A64F18D832AD1C34B7BFA168B0BA443EAA0EF,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
518E2B853B3744B09B40C32A3A6AE7798F137319687D60A64B2D7BEF04F51141,05C97349F397582E8A6249A2D5709AD4923C3B38A7E21B050DE3374402BA58A1,HEADER_CUIT:33699685459
522D785B8861AC8B6E0B665918509ABFC61F4A5A7AD344D29581F3820D969F29,1A4F808049D1A37F4E6AB760DD7135F61503613DEB13BADD69E536FEA2FC6B9F,HEADER_CUIT:30541682372
527504906574AF26885EE635E0F36AA979D7FF61B1D8507694DE2CE5B73225F4,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
52FE664876FA2826D1C28609B50E875F103D17E5B811AF9120F7711D1415984D,18F037E71275BAC8EB6B9907A801BB8596276D931C4A89D42AD4A1DDB99C44C7,HEADER_CUIT:30711969426
53531D26119A3A91D8160D16D8081238C94A83B00EADEEECB6BED96F35C0D21F,030126CE7D614353FF03F90C126B6D2C3746D913B36523810DF4F1B51326D882,EXISTING_GROUP:factura-familia-arca-fce-standard
53D64513ED31729F52AED36DB909462F972FF5BA06D6C491179067D362C9C7B8,072B001D7FDCB00B166EE67FDDEE8BE382F3BA7FB76113DE6F258CAC2DEDFF3E,HEADER_CUIT:30669701639
54335DE1C0415D17F21265B12222E081CEFA539B242465CBBCFC590F12C0C334,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
576B8F132C0E88EBDAE42BE903FF9786177F4D737C93B63D8869C4627462B461,04622502B384DAAEF8528EC21E2AB0A275228BE920F7620586EB7594F8385E50,HEADER_CUIT:30685843400
59E5149E5884455CB217A6C65C53D4E5A3D6A97340789DD88058604355792DD1,09BA9B13C67BBB69B0C9194C5E68E80D92DE3F0D572EEB90223E1DFDA26B67E7,HEADER_CUIT:30516385460
5A3DE1739FB496DBB9FA08B6272476E8A2B4A735630CC6FA721347F5714A201F,04622502B384DAAEF8528EC21E2AB0A275228BE920F7620586EB7594F8385E50,HEADER_CUIT:30685843400
5BA5E74FDC3E744FE001D25F2A83DBD4D510A328CD464D0F651515449B5F179C,2177FA907AE027A8214549A497D8B20FAC11F03378434E82243735B41CDCCF90,HEADER_CUIT:30707503307
5BDCA8EC7A304793C5EE8E9427ED3E6CC403E6106B48E9E4D2CC2A1C0617FFFA,11AA4176F3F4A2CC86037046B472339888DABD214272917A6929C087593E9D8E,HEADER_CUIT:30708979062
5DBA7CBB3EB49D3C74FBFEEAAEB4577AE3A1E6A301084ABB8BF3A43AEF78660A,05C97349F397582E8A6249A2D5709AD4923C3B38A7E21B050DE3374402BA58A1,HEADER_CUIT:33699685459
5DC072AF4EDB6D207C475E7566C3FEC38142A3E338A651C14B89891BCDA79222,0EA83AC8EB655DEA62FEAFEB9AA0E382503A8BAE3EE20782767D39071CB570D8,HEADER_CUIT:30693821653
6027795BAF41946DBA91302987071F720437F3DBCD24AFC81386AF1BF488F28B,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
616794539B7C4B5DF3CE240204FCE2CEBB67CC60FAB8BE37DCBFCD190B3A0BF4,04622502B384DAAEF8528EC21E2AB0A275228BE920F7620586EB7594F8385E50,HEADER_CUIT:30685843400
618FA8EF90B2BC09442461DF6A1950F3B56DE7D9217334E5658065B15A2D1C7D,481956117B7BF5D84F3D09FF85452B875AA1D3150C90D00A6636B6433A2AEDC0,HEADER_CUIT:30718629612
6397751726250ADCAFF9223A5165FCDBEC678962C80710A66E088BD74EE2B98F,1E3A54E29CDFD98200A8968E8ED2B1DDDE4DDCC94F9FA7FA24A7FF973C6256A2,HEADER_CUIT:30709236489
63D1DB74D405C58FC6B148A98498E2351418A24343D9326C5EB42A6CCEC42A4A,11AA4176F3F4A2CC86037046B472339888DABD214272917A6929C087593E9D8E,HEADER_CUIT:30708979062
6403F4BAEA29F0572CD01DCF95BF5F3B217C9101108E749C6E1A598D5D2BAC36,271BB1B094E0EB4AEA101752E7C07265ABB906ADD707394EB6D66A12B8173D8B,HEADER_CUIT:33610006189
653916FEE25C919AB6EB8CD62ACDB2EFB4ED9246ABE1E345CCEFD62AD0B1EEEF,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
656386FE1A238BEC6044ED0DE22EEF339619F7FB71C6B39E0C0AAAF4854803CF,0393CB3ABBE474C6B489BC46868FD98792B23A13B723C0F5196587EC98CCF160,HEADER_CUIT:30707889434
657D014F547F5C67D9C3C97F905729BE00F4498F2CB5E01528AAFF4F0E177E5B,106447D8042022E7A7E537E2F456DA614B64B7F191C70E08B6E6C5335ED5C164,HEADER_CUIT:30546969874
6628B77297FB0AF7072963D7CFE54056E7303FF0D0C639C77083714E0007556F,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
669DD6476BE5C0CDB4380E38C32AC0191B79E55B8091C27E06765012EB20DDF2,2177FA907AE027A8214549A497D8B20FAC11F03378434E82243735B41CDCCF90,HEADER_CUIT:30707503307
691BF365684F97697A067502250D2340172FFABC2AF02D9E3B21DA04BCB2E53D,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
692C0777313BAABD423DE1E30355C51C4FD8A27764C160F0B8DDE61F8F138CF5,194F2DA87B4471D4F618FDAFBE7C074F5DB1BC27D67350BC9E865BDBEDECF437,HEADER_CUIT:33712026559
6951FCD388A8D53F50AEC19CB24E961F550D8DFDD9B70D9D3EBBEE53AB0530DF,021D03676E4829AEEEA847D3BCB185AA2D16C5CBCA32B330075F575854B360A1,HEADER_CUIT:30682335706
69A41A9336BD087CD1DE05A3481CFD378C3896D06C317E3C65E8BFA17FF9C38B,2177FA907AE027A8214549A497D8B20FAC11F03378434E82243735B41CDCCF90,HEADER_CUIT:30707503307
69EB61B831F098BE9D870A069C9732F9082C6DE31B5E89576F973046AA3D0537,05C97349F397582E8A6249A2D5709AD4923C3B38A7E21B050DE3374402BA58A1,HEADER_CUIT:33699685459
69F92D3D10F2BE9527CE3AA19F22635B987762F8663A4A61550B7791C9813E44,11AA4176F3F4A2CC86037046B472339888DABD214272917A6929C087593E9D8E,HEADER_CUIT:30708979062
6A9BDCA349F3FAD5AF9C83D9C275D6030CE77BF8CEFB45B0E6BBE7F105DD0790,23A963A9C0C71A93525846B4B4493D7A791A1657AC0334B2893A1CCF8B7F3E95,HEADER_CUIT:30708856254
